country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-08-2025 19:00:00",26.349082,92.68449,OZONE,8,13,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","28-08-2025 19:00:00",26.446912,91.439057,PM10,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","28-08-2025 19:00:00",26.446912,91.439057,OZONE,4,73,14
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","28-08-2025 19:00:00",25.265194,87.012947,NH3,2,6,3
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","28-08-2025 19:00:00",25.265194,87.012947,OZONE,4,11,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","28-08-2025 19:00:00",25.204762,85.514960,OZONE,1,56,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","28-08-2025 19:00:00",25.7808257,84.7446768,NO2,114,114,114
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","28-08-2025 19:00:00",25.7808257,84.7446768,SO2,9,9,9
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","28-08-2025 19:00:00",25.697189,85.245900,CO,8,22,9
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","28-08-2025 19:00:00",27.308328,84.531742,CO,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","28-08-2025 19:00:00",16.5150833,80.5181667,NO2,13,58,21
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","28-08-2025 19:00:00",21.219665,81.630094,SO2,5,7,5
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","28-08-2025 19:00:00",21.219665,81.630094,CO,13,94,20
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-08-2025 19:00:00",21.237755,81.705301,PM2.5,8,33,17
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-08-2025 19:00:00",21.237755,81.705301,SO2,5,8,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","28-08-2025 19:00:00",21.371751,81.664929,PM2.5,15,44,26
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","28-08-2025 19:00:00",21.371751,81.664929,OZONE,4,8,5
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","28-08-2025 19:00:00",22.06631475,83.33820077,SO2,5,7,5
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","28-08-2025 19:00:00",22.06631475,83.33820077,CO,14,47,26
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-08-2025 19:00:00",28.815329,77.153010,CO,22,42,24
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","28-08-2025 19:00:00",22.368195,82.746431,SO2,5,10,8
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-08-2025 19:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-08-2025 19:00:00",22.126650,83.483212,CO,16,50,25
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-08-2025 19:00:00",22.126650,83.483212,OZONE,3,6,4
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-08-2025 19:00:00",22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-08-2025 19:00:00",22.1910172,83.5197009,PM10,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-08-2025 19:00:00",21.258815,81.578979,PM2.5,4,46,20
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-08-2025 19:00:00",21.258815,81.578979,PM10,6,65,24
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","28-08-2025 19:00:00",21.219665,81.630094,PM10,8,93,34
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","28-08-2025 19:00:00",25.592539,85.227158,OZONE,9,13,10
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-08-2025 19:00:00",25.610369,85.132568,NO2,9,14,12
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-08-2025 19:00:00",25.610369,85.132568,SO2,15,24,21
India,Bihar,Patna,"Muradpur, Patna - BSPCB","28-08-2025 19:00:00",25.619651,85.147382,SO2,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","28-08-2025 19:00:00",25.599486,85.113666,PM2.5,16,62,45
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","28-08-2025 19:00:00",25.599486,85.113666,SO2,6,10,7
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","28-08-2025 19:00:00",25.599486,85.113666,CO,12,36,18
India,Bihar,Patna,"Samanpura, Patna - BSPCB","28-08-2025 19:00:00",25.596727,85.085624,PM2.5,46,118,75
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","28-08-2025 19:00:00",26.1403345,85.3650192,SO2,9,17,11
